transaction_id,customer_id,transaction_date,amount,transaction_type
TXN152578,CUST0018,2023-02-01,3742.4,debit
TXN159642,CUST0019,2023-09-02,2519.22,debit
TXN723939,CUST0017,2023-02-11,4258.2,debit
TXN225710,CUST0003,2023-12-12,4310.48,credit
TXN749468,CUST0019,2023-05-07,2898.81,debit
TXN373432,CUST0003,2023-08-03,3290.29,credit
TXN378517,CUST0007,2023-12-09,3583.8,debit
TXN579434,CUST0013,2023-03-09,3361.73,credit
TXN176819,CUST0011,2023-02-07,56.48,debit
TXN465962,CUST0018,2023-04-20,2534.36,debit
TXN559469,CUST0003,2023-05-06,1853.94,debit
TXN800305,CUST0018,2023-12-27,1519.56,debit
TXN240814,CUST0018,2023-06-03,4659.46,debit
TXN385577,CUST0009,2023-03-01,4449.67,debit
TXN313487,CUST0010,2023-11-06,1061.04,credit
TXN196781,CUST0009,2023-09-16,2447.77,debit
TXN908577,CUST0014,2023-05-22,229.99,credit
TXN877236,CUST0005,2023-11-23,4899.19,debit
TXN217308,CUST0015,2023-10-10,3531.28,debit
TXN975136,CUST0003,2023-12-20,4520.6,debit
TXN233636,CUST0012,2023-10-26,2767.1,credit
TXN475190,CUST0002,2023-06-07,1829.61,debit
TXN470858,CUST0007,2023-12-16,1255.15,debit
TXN348237,CUST0018,2023-07-28,4869.45,debit
TXN288073,CUST0006,2023-04-01,4408.27,debit
TXN379766,CUST0011,2023-07-30,4013.15,debit
TXN593554,CUST0006,2023-12-26,549.4,debit
TXN466643,CUST0008,2023-04-13,4084.77,credit
TXN517821,CUST0010,2023-04-27,1122.39,debit
TXN468203,CUST0011,2023-05-23,4323.12,credit
TXN128941,CUST0017,2023-07-24,3400.8,credit
TXN140115,CUST0004,2023-05-14,901.05,credit
TXN557592,CUST0004,2023-11-02,2178.47,credit
TXN367095,CUST0020,2023-09-19,587.07,debit
TXN481913,CUST0002,2023-12-29,2185.93,debit
TXN753425,CUST0014,2023-02-05,4744.88,credit
TXN631756,CUST0011,2023-12-06,4241.6,credit
TXN831076,CUST0010,2023-12-08,2047.88,credit
TXN797229,CUST0010,2023-10-11,645.17,credit
TXN745414,CUST0013,2023-12-13,3743.19,debit
TXN418635,CUST0019,2023-06-04,2036.32,debit
TXN587575,CUST0010,2023-04-18,2155.14,credit
TXN932291,CUST0015,2023-08-15,3381.38,credit
TXN197923,CUST0006,2023-12-04,433.13,credit
TXN254511,CUST0008,2023-12-11,1558.99,debit
TXN740967,CUST0001,2023-01-24,1231.76,credit
TXN853240,CUST0003,2023-08-22,2078.06,debit
TXN787926,CUST0013,2023-09-11,2004.27,debit
TXN284430,CUST0001,2023-02-24,3894.32,debit
TXN989545,CUST0017,2023-08-26,260.59,debit
TXN800005,CUST0004,2023-08-22,675.36,credit
TXN742412,CUST0017,2023-10-14,2981.31,credit
TXN266889,CUST0017,2023-08-07,4154.54,credit
TXN980660,CUST0016,2023-08-19,1303.37,debit
TXN387936,CUST0009,2023-09-24,2428.14,debit
TXN384913,CUST0015,2023-02-09,3570.59,debit
TXN245095,CUST0011,2023-06-13,4466.2,debit
TXN840734,CUST0005,2023-04-29,1921.35,debit
TXN668969,CUST0007,2023-02-02,2080.19,credit
TXN508396,CUST0015,2023-08-01,320.71,credit
TXN600149,CUST0019,2023-12-23,107.46,credit
TXN994905,CUST0001,2023-06-30,1500.08,credit
TXN611945,CUST0014,2023-10-03,3740.1,debit
TXN507746,CUST0008,2023-05-20,2184.82,debit
TXN859359,CUST0011,2023-12-09,3398.92,credit
TXN513160,CUST0006,2023-08-28,4598.51,debit
TXN773971,CUST0019,2023-10-16,3318.37,debit
TXN152727,CUST0014,2023-03-11,4335.59,debit
TXN442722,CUST0009,2023-07-14,1643.49,credit
TXN364525,CUST0011,2023-07-14,1398.5,credit
TXN466960,CUST0003,2023-08-29,106.72,debit
TXN890870,CUST0008,2023-11-29,352.41,debit
TXN751517,CUST0001,2023-05-07,1004.81,debit
TXN691364,CUST0005,2023-05-03,639.84,debit
TXN275939,CUST0007,2023-08-27,3500.33,credit
TXN915573,CUST0020,2023-11-07,4819.04,debit
TXN427110,CUST0006,2023-06-09,549.41,debit
TXN515922,CUST0019,2023-12-13,4541.05,credit
TXN206851,CUST0007,2023-02-08,2964.57,debit
TXN934904,CUST0010,2023-12-17,3006.05,debit
TXN793655,CUST0019,2023-01-22,1742.55,credit
TXN113266,CUST0012,2023-02-05,2534.74,credit
TXN766459,CUST0014,2023-09-08,536.64,credit
TXN869440,CUST0015,2023-12-29,773.43,debit
TXN587455,CUST0017,2023-11-30,1357.71,credit
TXN971084,CUST0014,2023-10-31,1349.29,debit
TXN886931,CUST0003,2023-05-23,4409.34,debit
TXN452737,CUST0015,2023-10-19,3055.56,credit
TXN611233,CUST0001,2023-09-11,4256.25,debit
TXN393243,CUST0007,2023-07-01,3991.18,credit
TXN641722,CUST0020,2023-12-26,4401.74,debit
TXN612311,CUST0007,2023-02-13,1214.37,credit
TXN569945,CUST0018,2023-05-04,3456.14,credit
TXN825391,CUST0001,2023-02-17,1478.24,credit
TXN596249,CUST0008,2023-06-06,3323.16,credit
TXN468900,CUST0018,2023-09-29,1725.35,credit
TXN226516,CUST0015,2023-05-19,1540.05,debit
TXN300845,CUST0007,2023-06-11,606.58,debit
TXN205409,CUST0007,2023-09-05,1389.73,credit
TXN416950,CUST0007,2023-06-01,1145.14,debit
TXN147726,CUST0001,2023-12-29,2675.33,credit
TXN768854,CUST0002,2023-10-11,1467.76,debit
TXN592198,CUST0016,2023-02-22,4364.87,credit
TXN364742,CUST0016,2023-08-14,1710.12,debit
TXN615633,CUST0016,2023-02-28,4112.36,credit
TXN259097,CUST0003,2023-10-23,3150.93,debit
TXN360247,CUST0005,2023-10-16,4746.14,debit
TXN913373,CUST0004,2023-10-13,3824.57,debit
TXN411797,CUST0017,2023-07-14,2258.07,credit
TXN739244,CUST0019,2023-08-08,1533.85,debit
TXN792509,CUST0004,2023-04-17,3131.32,credit
TXN264136,CUST0003,2023-03-22,1206.93,debit
TXN405407,CUST0001,2023-07-29,2258.01,credit
TXN837135,CUST0002,2023-04-29,1447.64,credit
TXN926097,CUST0015,2023-02-06,3440.05,credit
TXN545790,CUST0019,2023-12-05,4021.49,debit
TXN378535,CUST0004,2023-10-06,1131.8,debit
TXN723948,CUST0005,2023-02-06,307.59,credit
TXN822131,CUST0019,2023-05-28,2201.38,credit
TXN624783,CUST0010,2023-12-25,2018.52,credit
TXN553014,CUST0018,2023-09-10,2194.42,debit
TXN340044,CUST0011,2023-11-06,1259.34,debit
TXN704238,CUST0019,2023-10-28,4754.42,credit
TXN391668,CUST0002,2023-03-31,2357.8,credit
TXN195674,CUST0006,2023-10-27,2185.07,credit
TXN802685,CUST0016,2023-06-28,2047.66,credit
TXN402218,CUST0004,2023-03-24,1655.72,credit
TXN429795,CUST0013,2023-10-09,193.12,debit
TXN639593,CUST0009,2023-06-15,588.45,credit
TXN533321,CUST0001,2023-12-03,4348.14,credit
TXN755788,CUST0002,2023-04-07,2597.01,credit
TXN402020,CUST0015,2023-01-27,1025.76,debit
TXN760626,CUST0015,2023-12-24,2428.71,debit
TXN677596,CUST0020,2023-05-03,3551.82,credit
TXN982277,CUST0001,2023-10-10,2045.87,debit
TXN622584,CUST0004,2023-08-25,4735.83,debit
TXN975271,CUST0010,2023-09-18,3530.0,credit
TXN502219,CUST0016,2023-08-30,1226.22,debit
TXN173201,CUST0007,2023-11-03,2546.12,debit
TXN960408,CUST0009,2023-08-01,1705.98,credit
TXN255813,CUST0001,2023-05-25,3632.99,credit
TXN678727,CUST0015,2023-10-03,2426.86,credit
TXN297816,CUST0018,2023-07-13,2282.17,credit
TXN145767,CUST0008,2023-10-20,1921.02,credit
TXN504832,CUST0011,2023-08-31,3529.09,credit
TXN626690,CUST0005,2023-09-11,4824.47,debit
TXN204555,CUST0019,2023-06-19,4349.8,credit
TXN529893,CUST0017,2023-08-22,86.58,debit
TXN455007,CUST0005,2023-02-08,2352.76,credit
TXN993140,CUST0020,2023-12-21,1993.44,debit
TXN432043,CUST0011,2023-12-12,4298.12,credit
TXN346174,CUST0016,2023-10-05,189.14,debit
TXN203225,CUST0010,2023-04-27,3736.36,credit
TXN130353,CUST0004,2023-08-16,840.16,credit
