Reviewer,Title,Review_Text,Rating,Date_of_Travel,Sentiment
Stay07610064857,WORST AIRLINE EVER WITH NO CUSTOMER SERVICE!!!!!!!!!!!!,"Long wait to check in. Paid extra for better seats, got nothing. Terrible breakfast, delays, lost connections. No feedback or refund.",1,Dec-24,Negative
Excursion40796791765,Lost luggage & Bad Service,"Lost luggage, employees dismissive. Did the bare minimum to assist. Had to push to get a claim filed.",1,Jan-25,Negative
Mo M,Terrible Airlines,"Lost suitcase, poor service, nearly missed flight. Seatmate situation uncomfortable. Will never fly Kenya Airways again.",1,Jan-25,Negative
Explore63386479286,0,"Very bad experience. Poor timing, commitment. Airport and flight staff behavior was disappointing.",1,Jan-25,Negative
Alvin M,Do not use this airline!,"Lost bags, delays, bad check-in service and poor food. Advised to spend extra for another airline.",1,Jan-25,Negative
Storyteller720625,Not good,"Flight not pleasant. Bad snacks, old seats. Won’t fly with KQ again. Luggage handling poor.",2,Jan-25,Negative
arvinder b,Worst Airline,Flight delayed over 5 hours. Customer service was pathetic and no compensation was offered.,1,Jan-25,Negative
Chipmunk c,Terrible,Cancellation after cancellation. Spent 12hrs in Nairobi with no support. Worst airline on African routes.,1,Jan-25,Negative
Bella B,"Pathetic, worst experience of my life!! Avoid this scammers","Lost luggage, no compensation, terrible food, multiple delays. Staff unhelpful. Worst business class service ever.",1,Dec-24,Negative
953blaithimh,Terrible experience,Delays and missed connections. No compensation. 12-hour wait at Paris. Very poor service and coordination.,2,Jan-25,Negative
Immaculate T,"Ladies and gentlemen, Save yourself a headache",Luggage lost. Staff unhelpful and communication poor. Had to chase for updates. Very frustrating experience.,1,Jan-25,Negative
Penyao S,No assistance provided for flight delay/ cancellation,12+ hour delay. No assistance. Promised compensation never given. Had to follow up for 3 weeks.,1,Jan-25,Negative
Alayka R,First and Last.,Delayed for hours. Poor communication. Stressful and uncoordinated support in Nairobi. Would never recommend.,1,Dec-24,Negative
Ama A,Better off paying more for another flight,Rescheduled flights without proper notice. Office closed at airport. No compensation. Unpleasant travel experience.,1,Dec-24,Negative
jonathan l,Minus 0 rating,Damaged luggage. Took 6 months to get $200. Cancelled return flight. Poor customer service.,1,Aug-24,Negative
Compass43520161804,Refund taking forever!,Waiting for refund over 3 months. Calls yield same response. Embarrassed by the service.,1,Oct-24,Negative
Amani B,So bad,"Awful awful awful. Had our flight delayed 9 hours with no alternative, stayed overnight in the airport. The customer service was terrible. There’s no communication about what’s happening. Worst experience I’ve had with an airline. Laughable they call themselves the ‘pride of Africa’.",1,Jan-25,Negative
Nadia M,Worst ever airline,Worst airline ever. Stood in a row for almost 2 hours to check in. Paid for better seats that was no better. Got a dry bun for breakfast. Flight was delayed for more than an hour.,1,Dec-24,Negative
Mr_Mrs_Jones1,Excellent customer service,Thank you Sanobar for promptly checking in my luggage and checking for leg room seat availability. I hope she gets given a recognition for her excellent customer service.,5,Mar-25,Positive
