Reviewer,Title,Review_Text,Rating,Date_of_Travel,Sentiment
ines c,Excellent experience on a Direct Flight to NBO,"Very happy to have a direct flight from JFK to NBO. Service and food were excellent, no problems with delays or luggage. Best flight experience ever.",5,Feb-25,Positive
Aladin G,WORST AIRLINE! STAY AWAY!,"Bag never arrived, sent 2 weeks later, no responsibility taken. Countless emails with no reimbursement. Will not fly Kenya even if paid.",1,Dec-24,Negative
jon s,Treat you like animals!,"Long delays, no staff, missed connections. Repeated bad service and misinformation. Staff lied, finally checked us in after much drama.",1,Feb-25,Negative
414kittykite,Better than expected!,Flight delay of only 1 hour. Flights on time. Food and service average. Check-in staff helped quickly. Difficult to reach contact center.,3,Feb-25,Neutral
Trail41500013380,Terrible Experience,Missed connecting flight due to delay. Staff unhelpful and disinterested. Bags delayed by two days. Poor customer service overall.,2,Feb-25,Negative
christinevs1,Worst trip ever!!!,Inflight entertainment broken. AC issues made trip very hot. Will never fly Kenya Air again.,1,Feb-25,Negative
Wanderer01982049478,Wrong luggage allowance and rude staff,"Different baggage info given at airport. Forced to pay extra. Staff rude and unprofessional, especially the supervisor.",1,Feb-25,Negative
Moni J,Kenyan Airline,Delayed nearly 10 hours. No lodging or food provided. Missing luggage. Poor communication and bad service. Warn others not to fly with them.,1,Feb-25,Negative
DayTrip24704002444,Room for improvement,"Confusion at check-in, long queues. Miscommunication at the gate. Cabin crew courteous and seamless. Food okay but plastic cutlery was disappointing.",3,Jan-25,Neutral
ElaineG1642,Terrible Customer service and care,"Delayed in Mombasa caused missed connection. 18-hour wait in Dubai, no apology or compensation. No luggage on arrival. Very disappointing experience.",1,Nov-24,Negative
Sightsee47783235201,No online Check in,Check-in issues have persisted for years. Lazy and disrespectful to clients. Site doesn’t keep state. Had to re-enter info multiple times.,2,Feb-25,Negative
Jalilah N,BOOKING KENYA AIRWAYS IS THE WORST THING YOU COULD EVER DO TO YOURSELF,"Everything about this airline is subpar. Dirty plane, no customer care. Staff completely unprofessional. Avoid at all costs.",1,Jan-25,Negative
Stay07610064857,WORST AIRLINE EVER WITH NO CUSTOMER SERVICE!!!!!!!!!!!!,"Long wait to check in. Paid extra for better seats, got nothing. Terrible breakfast, delays, lost connections. No feedback or refund.",1,Dec-24,Negative
Excursion40796791765,Lost luggage & Bad Service,"Lost luggage, employees dismissive. Did the bare minimum to assist. Had to push to get a claim filed.",1,Jan-25,Negative
Mo M,Terrible Airlines,"Lost suitcase, poor service, nearly missed flight. Seatmate situation uncomfortable. Will never fly Kenya Airways again.",1,Jan-25,Negative
Explore63386479286,0,"Very bad experience. Poor timing, commitment. Airport and flight staff behavior was disappointing.",1,Jan-25,Negative
Alvin M,Do not use this airline!,"Lost bags, delays, bad check-in service and poor food. Advised to spend extra for another airline.",1,Jan-25,Negative
Storyteller720625,Not good,"Flight not pleasant. Bad snacks, old seats. Won’t fly with KQ again. Luggage handling poor.",2,Jan-25,Negative
arvinder b,Worst Airline,Flight delayed over 5 hours. Customer service was pathetic and no compensation was offered.,1,Jan-25,Negative
Chipmunk c,Terrible,Cancellation after cancellation. Spent 12hrs in Nairobi with no support. Worst airline on African routes.,1,Jan-25,Negative
Bella B,"Pathetic, worst experience of my life!! Avoid this scammers","Lost luggage, no compensation, terrible food, multiple delays. Staff unhelpful. Worst business class service ever.",1,Dec-24,Negative
953blaithimh,Terrible experience,Delays and missed connections. No compensation. 12-hour wait at Paris. Very poor service and coordination.,2,Jan-25,Negative
Immaculate T,"Ladies and gentlemen, Save yourself a headache",Luggage lost. Staff unhelpful and communication poor. Had to chase for updates. Very frustrating experience.,1,Jan-25,Negative
Penyao S,No assistance provided for flight delay/ cancellation,12+ hour delay. No assistance. Promised compensation never given. Had to follow up for 3 weeks.,1,Jan-25,Negative
Alayka R,First and Last.,Delayed for hours. Poor communication. Stressful and uncoordinated support in Nairobi. Would never recommend.,1,Dec-24,Negative
Ama A,Better off paying more for another flight,Rescheduled flights without proper notice. Office closed at airport. No compensation. Unpleasant travel experience.,1,Dec-24,Negative
jonathan l,Minus 0 rating,Damaged luggage. Took 6 months to get $200. Cancelled return flight. Poor customer service.,1,Aug-24,Negative
Compass43520161804,Refund taking forever!,Waiting for refund over 3 months. Calls yield same response. Embarrassed by the service.,1,Oct-24,Negative
Amani B,So bad,"Awful awful awful. Had our flight delayed 9 hours with no alternative, stayed overnight in the airport. The customer service was terrible. There’s no communication about what’s happening. Worst experience I’ve had with an airline. Laughable they call themselves the ‘pride of Africa’.",1,Jan-25,Negative
Nadia M,Worst ever airline,Worst airline ever. Stood in a row for almost 2 hours to check in. Paid for better seats that was no better. Got a dry bun for breakfast. Flight was delayed for more than an hour.,1,Dec-24,Negative
Mr_Mrs_Jones1,Excellent customer service,Thank you Sanobar for promptly checking in my luggage and checking for leg room seat availability. I hope she gets given a recognition for her excellent customer service.,5,Mar-25,Positive
Sightsee477832,No online Check in,"This airline has been having issues with their check-in for years but they still haven't fixed the bag. I think this is very lazy and disrespectful to their clients. The site also doesn't keep state, you have to give them your information again and again.",1,Feb-25,Negative
Moni J,Kenyan Airline,"Kenya Airlines is one of the worst airlines we've ever flown with. Delayed 10 hours in Nairobi, no lodging or food. Missing baggage, unhelpful staff. We advise boycotting this airline.",1,Feb-25,Negative
DayTrip24704002444,Room for improvement,"Confusing check-in process, long wait times, poor communication, mixed-up flights. Courteous cabin crew, but disappointing airport experience overall.",2,Jan-25,Neutral
ElaineG1642,Terrible Customer service and care,"Missed connecting flight due to delays. No compensation, poor handling of luggage, stressful experience. Will not fly with them again.",1,Nov-24,Negative
Stay07610064,WORST AIRLINE EVER WITH NO CUSTOMER SERVICE!!!!!!!!!!!!,"DO NOT USE THIS AIRLINE. On arrival at OR Tambo we waited for 1 hour 40min just to check in. Only 2 people at the counter and a runner pushing people into the row of people waiting. We paid extra for better seats. DO NOT pay for this. On our flight from Nairobi to Zanzibar they changed the plane to a very small plane. Was difficult to go to the toilet. Dry croissant for breakfast. Return flight also delayed, no benefit for premium seats, no refund despite several emails.",1,Dec-24,Negative
Excursion40796797165,Lost luggage & Bad Service,Lost my luggage and did bare minimum to look for it. Had to consult with three dismissive employees before anyone even filed a claim.,1,Jan-25,Negative
Mo M,Terrible Airlines,"Kenya airlines lost one of my checked bags. Delayed flight due to system error. Poor customer service, nearly missed flight. Terrible 10-hour journey. Very uncomfortable and overcrowded seat. Never flying Kenya Airlines again!",1,Jan-25,Negative
Explore63386702925,0,"Very very bad experience. Timing, commitment & airport and flight staff behavior, it's very bad.",1,Jan-25,Negative
Alvin M,Do not use this airline!,"Lost bags, delays in travel timing, horrible service at the check-in desk, food was not great either. Spend the extra $500 and fly another airline.",1,Jan-25,Negative
Storyteller720625,Not good,The Kenya Airways flight was not pleasant. Terrible flight snacks. Old seats. Won’t fly with KQ again. They could do better with handling luggage too.,2,Jan-25,Negative
David S,A sub par airline,"We left JFK late, missed our connection, had to sit for 11 hours. Food wasn’t good, seats not comfortable. Only Delta helped us out. Wouldn’t recommend unless they improve.",2,Jan-25,Negative
arvinder b,Worst Airline,Flight was delayed over 5 hours and customer service is really pathetic and no compensation was given.,1,Jan-25,Negative
Chipmunk c,Terrible,"Terrible airline, repeated cancellations. No information, spent 12hrs in Nairobi with no support from the airline. Never would I recommend anyone to this airline.",1,Jan-25,Negative
Bella B,"Pathetic, worst experience of my life!! Avoid this scammers","Avoid this. Lost luggage, no compensation. Terrible food, 3hr runway delay, missed connection, no communication. Still no response after a month. Waste of money. Shame on you.",1,Dec-24,Negative
Immaculate T,"Ladies and gentlemen, Save yourself a headache","My luggage was lost during my flight, and the entire process of tracking it was a nightmare. Unhelpful staff, poor communication, no accountability. I won’t be flying with them again anytime soon.",2,Jan-25,Negative
Penyao S,No assistance provided for flight delay/ cancellation,We experienced a delay of over 12 hours. No assistance or compensation despite follow-up for three weeks. Very miserable experience. Never flying with them again.,1,Jan-25,Negative
Ama A,Better off paying more for another flight,Flight time changed multiple times without proper notice. Airport staff were unavailable. Was forced into a 24-hour journey instead of 3 hours. No compensation offered. Terrible experience.,1,Dec-24,Negative
jonathan l,Minus 0 rating,Severely damaged luggage and 6 months for $200 compensation. Return flight canceled without notice. Terrible customer service. Will never fly again.,1,Aug-24,Negative
Compass43520161804,Refund taking forever!,"Been waiting 3 months for a refund. Terrible customer service, same response every time. Very disappointed and embarrassed. Will never use this airline again.",1,Oct-24,Negative
JedEye M,The worst airline in Africa.,Crew refused basic service. Delayed both ways. Staff were unhelpful and rude. Would rather fly anything else. Never again.,1,Jan-25,Negative
Renuka S,KQ chartered to Hi Life,"Flight chartered out, no wifi, poor food and drink service, cramped space. Not business class, felt like cattle class. Disappointing.",1,Jan-25,Negative
GrandTour50...World,Avoid This Terrible Airline,Flight cancelled 6 hours before take-off. Customer service misled us. Had to book new flights ourselves. Refund still pending. Horrible experience.,1,Dec-24,Negative
globetrotting...DC,Never again,"Lost luggage, delays, and poor accountability. Broken handle on bag. Claim process is frustrating. Worst airline I’ve flown.",1,Dec-24,Negative
Dan S,"Never ever fly this airline, EVER!","Delayed flights both ways. No water, no communication. Worst service. Fly any other airline instead.",1,Dec-24,Negative
Chui-Ling,Travel with this airline if you don't mind being scammed!,"None of the entertainment screens were working during the entire 9.5 hour flight. Cabin crew said they hadn't worked for ages and weren't sure whether they'd be fixed. On return journey, we went from Zanzibar to Nairobi... (truncated)",1,Dec-24,Negative
cvmehta2016,Flying Kenya Airways,"Flying business class - Dec 30th. No Entertainment/ No TV screen. Could not watch movies etc for this 6 hr flight. Gave dinner but in morning. No breakfast, not even tea or coffee.",1,Dec-24,Negative
Anna S,"Pay a little extra, avoid flying with Kenya",Booked flights over Christmas from Amsterdam to Zanzibar... (truncated),1,Dec-24,Negative
Go24761357454,"Forced to book a flight, lost carry on lugage, massive delay",Awful experience. They forced me to book an ongoing flight in India before they let me board the plane in joburg... (truncated),1,Dec-24,Negative
Chui-Ling,Travel with this airline if you don't mind being scammed!,"None of the entertainment screens were working during the entire 9.5 hour flight... Never again, will we fly with this dodgy airline!",1,Dec-24,Negative
cvmehta2016,Flying Kenya Airways,"Flying business class- Dec 30th. No Entertainment/ No TV screen. No breakfast , not even tea or coffee.",1,Dec-24,Negative
Anna S,"Pay a little extra, avoid flying with Kenya","Booked flights over Christmas from Amsterdam to Zanzibar, via Nairobi...Pay a little extra, avoid these guys.",1,Dec-24,Negative
Go24761357454,"Forced to book a flight, lost carry on lugage, massive delay",Awful experience...Never again!,1,Dec-24,Negative
Marianelemos,Kenya Airways: The Worst Airline Experience of My Life,Kenya Airways was the worst airline I have ever flown with in my life...I will never fly with them again and I will not recommend them to anyone.,1,Dec-24,Negative
QIAN Y,THE SHAME OF AFICAN AIRLINE,DON'T FLY WITH KENYA AIRWAYS!! THIS IS THE MOST TERRIBLE AND PATHETIC ARLINE EVER!!,1,Jan-25,Negative
Petrus Hendri...,Worse travel experience ever!,"Poor service, flight attendants unfriendly... Very poor experience in all.",1,Dec-24,Negative
Courtney W,"Save your time, book somewhere else!",Do not use this airline...I will most certainly not be recommending it to anyone.,1,Jan-25,Negative
ByronAnthony...,Embarrassment of Africa,Do not ever use this airline...It is shocking.,1,Jan-25,Negative
San-Mari R,Choose another airline!,Terrible experience!...I'll never fly with them again and won't recommend anyone to do so.,1,Dec-24,Negative
Ravi V,Nightmare experience,"Worst experience ever, airlines issued a boarding pass for Nairobi-Johannesburg flight, only to realise after arriving at Nairobi that all the passengers from.Mumbai are put in a different flight scheduled after 10 hours. This is not the first time, I have had many bad experiences with Kenyan airways for some.reason or the other. No one takes the responsibility. Their operations are a nightmare. No further travelling with Kenya airways and strongly suggest others not to opt for it.",1,Jan-25,Negative
Camper481911...,Worst Airline,"My experience with Kenya Airways was deeply disappointing. The total flight delay on BOTH our outbound and return flights exceeded almost 30 hours. We also saw that several other their other flights were also delayed. There were no apologies, no consideration for customers, and a complete lack of empathy. The ground staff in both Johannesburg and Kenya were unprofessional and displayed a 'don’t care' attitude.",1,Dec-24,Negative
ucazzu P,The pride of having no shame,Horrible. Still no refund for the absurd changes they imposed randomly & let no way to to find any compromise. They are just thieves... & apparently so proud to be.,1,Nov-24,Negative
Dale M,Very very bad,Online check in wasn't working... [Truncated for brevity],1,Jan-25,Negative
Voyage03531...,I can't imagine a worse experience,Just had the most shocking experience with Kenya airways... [Truncated for brevity],1,Jan-25,Negative
anisha j,Embarrassment of Africa,They are the embarrassment of Africa and not the Pride... [Truncated for brevity],1,Dec-24,Negative
G8227Wthom...,Horrible airline - avoid at ALL costs,Truly one of the most horrible airlines in Africa right now... [Truncated for brevity],1,Dec-24,Negative
Amani B,So bad,Awful awful awful. Had our flight delayed 9 hours with no alternative... [Truncated for brevity],1,Jan-25,Negative
Nadia M,Worst ever airline,Worst airline ever. Stood in a row for almost 2 hours to check in. Paid for better seats that was no better. Got a dry bun for breakfast. Flight was delayed for more than an hour.,1,Dec-24,Negative
kklaff1234,Kenya Airlines is worlds worst with even worse staff,Worst airline in the world. Do not fly with them... [Truncated for brevity],1,Jan-25,Negative
Ravi V,Nightmare experience,"Worst experience ever, airlines issued a boarding pass for Nairobi-Johannesburg flight, only to realise after arriving at Nairobi that all the passengers from.Mumbai are put in a different flight scheduled after 10 hours. This is not the first time, I have had many bad experiences with Kenyan airways for some.reason or the other. No one takes the responsibility. Their operations are a nightmare. No further travelling with Kenya airways and strongly suggest others not to opt for it.",1,Jan-25,Negative
Camper481911...,Worst Airline,"My experience with Kenya Airways was deeply disappointing. The total flight delay on BOTH our outbound and return flights exceeded almost 30 hours. We also saw that several other their other flights were also delayed. There were no apologies, no consideration for customers, and a complete lack of empathy. The ground staff in both Johannesburg and Kenya were unprofessional and displayed a 'don't care' attitude. Customer service is practically non-existent—reaching them through the call center, WhatsApp, email, social media etc... is impossible. The social media representative, in particular, was rude and unhelpful, raising serious questions about their suitability for the role. The in-flight experience was no better. The meals were terrible, and the airplanes felt outdated and poorly maintained. Save yourself the stress and avoid this airline at all costs. It’s truly not worth it, and the negative reviews you’ve read are entirely accurate.",1,Dec-24,Negative
ucazzu P,The pride of having no shame,Horrible. Still no refund for the absurd changes they imposed randomly & let no way to to find any compromise. They are just thieves... & apparently so proud to be.,1,Nov-24,Negative
Dale M,Very very bad,"Online check in wasn't working (I tried 24 hours, the following morning , and 3 hours before check in) online check in gave message that it was to check in at counter. Queue for flight was exceptionally long , only 2 counters operating and each check in was taking about 15 minutes. Took me more than 2 hours to reach counter only to be told I had been downgraded to a much later flight because they had overfilled the plane. Told them i would miss my connecting flight to the Mara. They told me to phone my travel agent , but i couldn’t do that because agent is overseas and the time difference ment office closed. The check in staff were moody and unhelpful (she didn't even say good afternoon after i greeted her). I was then pointed to a counter to get a voucher for hotel to wait for next flight. Lady at kenya airways counter said i would have to wait for all the downgraded passengers to be put onto a single voucher . This would have taken literally hours. She took a photo of my voucher and said the hotel will accept that . Caught a bus to the hotel only to be told by the hotel staff that the hotel will not accept a photo of the voucher. The hotel check in staff told me kenya airways knows this , and that they should have given me a physical voucher. Fortunately, the hotel staff went out of their way to assist and told me kenya airways often make such mistakes. As i write this , i am waiting for the next kenya airways flight , I just hope there isn’t similar issues with the next flight. I will never fly with Kenya airways again.",1,Jan-25,Negative
Voyage03531...,I can't imagine a worse experience,"Just had the most shocking experience with Kenya airways. After checking my email and their website before departing for the airport, we arrived to find the flight had been cancelled with no notification. The excuse they gave was a sick pilot but research on reviews shows that KA routinely cancel flights that aren't full. Those who had booked through 3rd party suppliers actually had an upper hand as they got a couple of hours more notice. The next available flight was indirect but other passengers got there first despite promises by Kenya airways we were being booked on. We found out 5 hours later they never booked us on. They said their shift is finishing and someone will call me in the afternoon (8 hours later!!). They suggested going on their own flight 2 days later but we would miss our connecting flight if we did that and they won't cover lost hotel bills or onward costs. Also they could just cancel that flight again and it was at 3am so another disrupted night wasn't humanly possible. We had to buy an alternative flight from another airline for the following day. Kenya airways do no issue refunds for cancellations or delays unless you cancel your whole booking so that would jeopardise your return leg. They also do not give meal vouchers. Every step of the way they have been really bad. I honestly cannot believe this airline is still functioning. I suggest all prospective passengers choose alternative airlines so this one can just fail as it's meant to. If you must go with KA ensure you have good travel insurance and don't plan connecting flights close to the time - leave at least 2 days gap. Also don't have any expectations.",1,Jan-25,Negative
Ravi V,Nightmare experience,"Worst experience ever, airlines issued a boarding pass for Nairobi-Johannesburg flight, only to realise after arriving at Nairobi that all the passengers from.Mumbai are put in a different flight scheduled after 10 hours. This is not the first time, I have had many bad experiences with Kenyan airways for some.reason or the other. No one takes the responsibility. Their operations are a nightmare. No further travelling with Kenya airways and strongly suggest others not to opt for it.",1,Jan-25,Negative
B1514JNesther...,Cabin Crew CHOPDEKAR was exceptional.,"KQ003 JFK-NBO 30th December, ""Zambezi River"" was excellent. To be honest I expected the worst after reading a lot of negative reviews but turned out very good. Though groups staff at JKF could use more customer care training. Also on the flight, cabin crew could do better on customer relations, however one staff was exceptional; CHOPDEKAR, he was truly the defination excellent customer service.",4,Nov-24,Positive
Trevor G,The worst flying experience I’ve ever had,"Kenyan Airways is the worst Airline you can possibly use to travel. The most unprofessional service when it comes to booking flights and communicating with passengers. They changed my flight THREE times and didn’t communicate with the connecting airline. Left me and my mother stranded at an airport in New York to fend for ourselves. If you value your time and flying experience, I recommend you never book this airline. It’s literally a joke and the airline should be canceled completely due to its extreme unprofessionalism.",1,Dec-24,Negative
Thecatsmum4,Pleasantly surprised but entertainment not working!,"We were limited to airlines given our destination and the business class cost was reasonable with Kenya so we opted for that. It was with trepidation as the reviews were bad re cancelled flights etc, however they were no better for the other options!...The one issue was that the entertainment system did not work in either of our seats... Not good - as entertainment is important on a long flight!!!!",3,Oct-24,Neutral
OntarioBecky,Awful,Never ever fly with this shambles of an airline...Never ever again will we fly Kenya Airways,1,Dec-24,Negative
Börge E,Cold but i score a strong 4 out of 5.,"Very cold during the 9 hour flight. Bring varm clothing. T-shirt and the blanket given is not enough. Good legroom, several food chooses. Old entertainment system and seats. Overall, cold but a nice trip",4,Dec-24,Positive
Amina M,"KQ changed my flight to a later flight, but staff told me I will it be able to connect due to time","My KQ 625 flight was changed to Jambo jet, hence time change from 4:20 to 6:30 am by Kenya airways. I got to the airport 3:30 am for my 6:30 flight. KQ staff did not want to take responsibility stating I was late. I had to show them several emails from KQ for the changes. I had a severely disabled grandson with me. Who does not communicate. KQ staff were not very sympathetic unfortunately. They told me they would rebook me for tomorrows flight as if I went with the changed flight I would not be able to connect to the London bound flight. I told them I could not just leave without any proof, and they got angry because I did not trust them. I have emailed them, I will update you on their response",1,Dec-24,Negative
jhbdiane2015,Don't go Kenya Airways,"Shocking shocking shocking airline. Do not use unless you want travel delays, cancelations, poor and indifferent service. What should have taken 18hrs travel time took 48 hrs ( each way). Totally terrible service. Take this airline at your own risk … you have been warned!",1,Dec-24,Negative
Kimmi_IslandL...,Do not fly with Kenya Airways!,"Worst airline I have ever flown with. Service is terrible, food is inedible and there is not enough food for the passengers onboard, beverage options are limited. Flights were delayed both ways, airline could not give us boarding passes, passed from 3 different queues in which staff were unhelpful and sent us to to another queue only to get the same result. Finally got boarding passes and my husband and I were seated far from each other, when raising this with the staff, they simply said there was nothing they could do. Definitely would not book with this airline again",1,Dec-24,Negative
Resort365827...,Worst airline in the world,A Joke of an airline. Doesn’t print my boarding pass in Zanzibar and then it literally takes them 2 hours to print my boarding pass in Kenya. Flight is always delayed. Never flying ever again by Kenya Airways.,1,Dec-24,Negative
simranraja3,BE AWARE- DO NOT FLY THIS AIRLINE 0/10,"HORRIBLE EXPERIENCE!!! 0 customer service, no help, flight cancelled, clients stranded… AVOID THIS AIRLINE AT ALL COSTS, -5/10 would NEVER recommend",1,Dec-24,Negative
Barbara Aba Y,Failure to pay refunds.,"I purchased a ticket and made cancellations the same day, and it’s been over two months but they’ve to refund my money. Anytime I contact them they keep giving me one story or another. I’m going to take this up legally……",1,Oct-24,Negative
mvdheerik,Guaranteed cancellation,Worst flight ever. Have booked this flight for staff 4 times now demand every time there was a delay or a cancellation. Be very aware before booking with this company!!!!!,1,Dec-24,Negative
AjithD34,Always changing flight details and aircrafts,Absolute terrible. You book a certain flight with a certain aircraft and Kenya Airways continuously change the aircraft. We went from a Boeing Dreamliner to a small Winglets plane. These plane are changed without any notification. I understand that things change but the smaller aircrafts have no inflight entertainment. They then make you pay for seats together. They allocated seats that split my family and said I must pay to sit together and they say there's nothing they can do.,1,Dec-24,Negative
James P,Useless,Literally the worst airline on the planet. Incapable of being on time and so completely useless that you end up missing your connecting flight. Every time. Frack these guys. Avoid like the plague.,1,Nov-24,Negative
Murugi L,Rude cabin crews and checkin staff are not friendly either,"The staff are rude ,very incompetent,we travelled with my family in August ,,the flight was so hot ,we stayed in Heathrow for over one hour in the heat ,no water, no nothing ,then when you request for something they take so long,some of the female staff are extremely rude ,they feel very entitled .I would never recommend this flight to anyone.",1,Jul-24,Negative
Martinet B,Worst airline ever,"This is the worst airline ever. First flight got delayed and got booked on another flight, alternative flight was also delayed. Then they did not transfer out bags so we were left with lost baggage as well. Their Whatsapp support line is so slow and not efficient. They are so incompetent. Will never use them ever again.",1,Dec-24,Negative
Steve L,Africa has no reason to be proud of Kenya airways,"I would not recommend this flight. Horrible time management and very bad customer service. Poor communication. Also some idiot called frank at the help desk in JKIA is as bad as the flight very rude to customers, and inconsiderate. Kenya airways should.not be used i repeat do not use it.",1,Dec-24,Negative
Guide029957...,Worst Airline,"Worst Airline Ever!!!!! Do not book with them!!! Incompetent, no help at all. Baggage is lost for x10 people. No one can help us!!!!",1,Dec-24,Negative
jonathan l,"Damaged suitcase, no compensation","They damaged our suitcase beyond repair. We reported it immediately at the airport. Filed a claim on line. FOUR months later, they are refusing to honor their own policies. Will never fly this airline. BEWARE",1,Aug-24,Negative
landstuhl,Worst airline ever,"Miserable staff, dirty cramped planes, no hand-wash in toilet on return flight despite asking 3 times, meal choices ran out and food was terrible, no in flight entertainment available...just told to download it to your phone, did not want to put window blinds down but air crew tried to force it down by leaning across to shut it, worst long haul flight evr taken...don't travel with them.....",1,Nov-24,Negative
Tiwonge C,Kenya Airways don't care,"Unless it's a life-or-death situation, or maybe it's the only airline that has remained on earth, please, and I repeat, don't fly using Kenya Airways. They only announced the delay at check-in. The flight, originally scheduled to depart at 1 am, now departs at 4 am and I have to incur cost of the delay. KQ has no regard for customers and the sad part is they know it but they don't care",1,Dec-24,Negative
smvNYC,"Modified flights, lack of of customer support","We had booked a two-leg ticket with a 27 hrs stopover in Nairobi. The airline decided to change move our first leg such that we were leaving 24 hours later and we now had this first leg 2 hours longer. We thus had to find a hotel room, eat up cost of lodging and loose ETA costs. Airline was non responsive when contacted. Less than an hour transfer time in Nairobi, we were ignored.",1,Dec-24,Negative
M K,Horrible!,First time flying with kq and only reason I opted for them over other airlines was because of the extra baggage allowance. Crew didn't have milk for my toddler even though we booked it. 2 out of 6 luggage were ripped. Took 3 weeks for fix after complaint. Will never fly KQ again.,1,Oct-24,Negative
Glen B,"As bad as an airline gets, substandard, unprofessional","Unbelievably bad airline. Substandard, unprofessional service. Cancel flights without warning or notification and completely disinterested with assisting. This airline is a joke. Not that they’d care about bad reviews.",1,Nov-24,Negative
