Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,country,state,total_population,gender,age,under_30,senior_citizen,partner,dependents,number_of_dependents,married,churn_value
No,0,34,no offer,No,0.0,No,Yes,DSL,20,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,61.25,1993.2,0.0,0,0.0,1993.2,United States,California,1885,Female,52,No,No,Yes,Yes,1,Yes,0
No,0,1,Offer E,Yes,7.77,Yes,Yes,Fiber Optic,22,No,No,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,72.1,72.1,0.0,0,7.77,79.86999999999999,United States,California,6760,Female,72,No,Yes,No,No,0,No,0
No,0,45,no offer,Yes,10.67,No,Yes,DSL,17,Yes,No,Yes,No,No,Yes,No,Yes,One Year,No,Credit Card,62.7,2791.5,0.0,0,480.15,3271.65,United States,California,63337,Male,79,No,Yes,No,No,0,No,1
No,0,1,no offer,No,0.0,No,Yes,Cable,9,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,25.1,25.1,0.0,0,0.0,25.1,United States,California,41707,Male,67,No,Yes,No,No,0,No,1
No,0,50,no offer,Yes,31.43,Yes,No,no internet,0,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,25.2,1306.3,0.0,0,1571.5,2877.8,United States,California,1968,Female,79,No,Yes,Yes,No,0,Yes,0
Yes,1,13,no offer,Yes,43.56,Yes,Yes,Fiber Optic,52,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,94.1,1215.6,0.0,0,566.28,1781.88,United States,California,1943,Female,26,Yes,No,Yes,No,0,Yes,1
Yes,1,23,Offer D,Yes,34.91,Yes,Yes,Fiber Optic,30,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,83.75,1849.95,0.0,0,802.93,2652.88,United States,California,1054,Female,30,No,No,Yes,Yes,2,Yes,0
No,0,3,no offer,Yes,3.12,No,No,no internet,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,19.85,57.2,0.0,0,9.36,66.56,United States,California,71,Female,22,Yes,No,No,No,0,No,0
No,0,4,Offer E,Yes,12.43,No,No,no internet,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,20.35,76.35,0.0,0,49.72,126.07,United States,California,155,Female,34,No,No,Yes,No,0,Yes,1
Yes,1,1,no offer,No,0.0,No,Yes,DSL,19,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,30.5,30.5,0.0,0,0.0,30.5,United States,California,234,Female,37,No,No,Yes,Yes,1,Yes,1
Yes,10,55,no offer,Yes,35.04,No,Yes,Fiber Optic,57,No,Yes,Yes,Yes,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,103.7,5656.75,0.0,20,1927.2,7603.95,United States,California,12587,Female,37,No,No,Yes,Yes,3,Yes,0
Yes,3,54,no offer,Yes,19.7,No,No,no internet,0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,20.4,1090.6,0.0,0,1063.8,2154.4,United States,California,30668,Male,42,No,No,Yes,Yes,3,Yes,0
No,0,26,Offer C,Yes,37.7,No,No,no internet,0,No,No,No,No,No,No,No,No,One Year,Yes,Bank Withdrawal,19.6,471.85,21.25,0,980.2,1430.8000000000002,United States,California,4101,Male,64,No,No,No,No,0,No,0
Yes,5,69,no offer,Yes,38.39,No,No,no internet,0,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,19.7,1396.9,0.0,0,2648.91,4045.81,United States,California,23570,Female,47,No,No,Yes,Yes,3,Yes,0
Yes,1,37,Offer C,Yes,43.01,No,Yes,Fiber Optic,51,No,No,No,No,Yes,Yes,Yes,Yes,One Year,No,Credit Card,91.2,3247.55,0.0,0,1591.37,4838.92,United States,California,3064,Male,23,Yes,No,Yes,Yes,3,Yes,0
Yes,5,49,Offer B,Yes,49.58,No,No,no internet,0,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,20.45,900.9,0.0,0,2429.42,3330.32,United States,California,3642,Female,48,No,No,Yes,No,0,Yes,0
Yes,9,66,no offer,Yes,43.77,Yes,Yes,Fiber Optic,41,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,115.8,7942.15,0.0,0,2888.82,10830.97,United States,California,55668,Male,28,Yes,No,Yes,No,0,Yes,0
No,0,67,no offer,Yes,23.12,No,No,no internet,0,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,20.55,1343.4,30.53,0,1549.04,2861.91,United States,California,27804,Female,28,Yes,No,No,No,0,No,0
Yes,4,20,no offer,No,0.0,No,Yes,Cable,22,Yes,No,Yes,Yes,No,No,No,Yes,Two Year,Yes,Credit Card,39.4,825.4,0.0,0,0.0,825.4,United States,California,41476,Male,33,No,No,Yes,Yes,1,Yes,0
No,0,43,no offer,Yes,30.64,Yes,No,no internet,0,No,No,No,No,No,No,No,No,Two Year,Yes,Bank Withdrawal,25.1,1070.15,0.0,0,1317.52,2387.67,United States,California,5671,Female,31,No,No,No,Yes,3,No,0
Yes,2,55,Offer B,Yes,5.08,Yes,Yes,Fiber Optic,9,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.8,4959.6,0.0,0,279.4,5239.0,United States,California,30814,Female,37,No,No,Yes,No,0,Yes,0
Yes,4,59,Offer B,Yes,16.39,Yes,Yes,Fiber Optic,14,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.75,5597.65,0.0,0,967.01,6564.66,United States,California,58198,Female,60,No,No,Yes,No,0,Yes,0
Yes,3,12,no offer,Yes,19.28,No,No,no internet,0,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,20.3,224.5,0.0,0,231.36,455.86,United States,California,78114,Female,48,No,No,Yes,Yes,3,Yes,0
Yes,7,27,Offer C,Yes,25.26,Yes,Yes,Fiber Optic,23,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.75,1929.0,0.0,0,682.0200000000001,2611.02,United States,California,1195,Male,60,No,No,Yes,Yes,3,Yes,0
No,0,2,no offer,Yes,43.99,No,Yes,DSL,27,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49.25,91.1,0.0,0,87.98,179.07999999999998,United States,California,47224,Male,69,No,Yes,No,No,0,No,1
No,0,27,Offer C,Yes,48.91,No,Yes,DSL,59,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,78.2,2078.95,0.0,0,1320.57,3399.5199999999995,United States,California,46917,Female,20,Yes,No,No,No,0,No,0
Yes,1,25,no offer,Yes,23.69,Yes,No,no internet,0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,25.5,630.6,44.42,0,592.25,1178.43,United States,California,22250,Male,31,No,No,Yes,Yes,3,Yes,0
Yes,5,25,no offer,Yes,6.45,No,Yes,Cable,19,Yes,Yes,Yes,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,61.6,1611.0,44.9,0,161.25,1727.35,United States,California,27023,Male,46,No,No,Yes,No,0,Yes,0
No,0,29,no offer,No,0.0,No,Yes,DSL,21,Yes,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,45.0,1242.45,12.26,0,0.0,1230.19,United States,California,26753,Male,57,No,No,No,Yes,1,No,0
Yes,5,72,no offer,Yes,32.36,Yes,Yes,DSL,52,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,85.15,6316.2,0.0,0,2329.92,8646.119999999999,United States,California,36718,Male,19,Yes,No,Yes,No,0,Yes,0
No,0,14,no offer,Yes,24.04,No,Yes,Cable,12,No,Yes,No,No,No,No,No,Yes,One Year,No,Credit Card,51.45,727.85,0.0,0,336.56,1064.41,United States,California,45755,Female,64,No,No,No,No,0,No,0
No,0,35,Offer C,Yes,36.42,No,Yes,Fiber Optic,2,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,99.25,3532.0,0.0,0,1274.7,4806.7,United States,California,579,Female,38,No,No,No,No,0,No,0
No,0,1,Offer E,Yes,42.95,No,Yes,DSL,9,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,44.3,44.3,0.0,0,42.95,87.25,United States,California,7384,Male,54,No,No,No,No,0,No,0
No,0,29,no offer,Yes,2.05,No,Yes,Fiber Optic,17,No,No,No,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,94.2,2607.6,0.0,20,59.45,2687.05,United States,California,596,Male,50,No,No,No,No,0,No,0
No,0,64,no offer,Yes,5.49,Yes,Yes,DSL,69,Yes,Yes,Yes,Yes,Yes,No,No,No,One Year,No,Bank Withdrawal,81.25,5567.55,0.0,40,351.36,5958.91,United States,California,2595,Male,25,Yes,No,No,No,0,No,0
Yes,1,39,no offer,Yes,24.38,Yes,Yes,Fiber Optic,53,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,99.95,3767.4,0.0,0,950.82,4718.22,United States,California,1332,Female,35,No,No,Yes,Yes,3,Yes,0
No,0,40,no offer,Yes,44.14,No,Yes,Fiber Optic,23,No,No,No,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,91.55,3673.6,0.0,0,1765.6,5439.2,United States,California,21633,Female,72,No,Yes,No,No,0,No,0
No,0,40,no offer,Yes,37.69,Yes,Yes,Fiber Optic,15,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,104.5,4036.85,0.0,0,1507.6,5544.45,United States,California,5529,Male,51,No,No,No,No,0,No,1
No,0,11,Offer D,Yes,11.59,No,Yes,Fiber Optic,29,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,95.0,1120.3,0.0,120,127.49,1367.79,United States,California,57146,Female,78,No,Yes,No,Yes,1,No,1
Yes,10,6,Offer E,Yes,42.66,Yes,Yes,Cable,85,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,50.35,314.55,0.0,0,255.96,570.51,United States,California,1004,Female,30,No,No,Yes,No,0,Yes,0
No,0,30,no offer,Yes,2.64,Yes,Yes,DSL,15,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Mailed Check,64.5,1888.45,0.0,0,79.2,1967.65,United States,California,35057,Male,58,No,No,No,No,0,No,0
No,0,27,no offer,Yes,20.66,No,No,no internet,0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,19.4,529.8,0.0,0,557.82,1087.62,United States,California,26389,Male,26,Yes,No,No,No,0,No,0
Yes,3,70,no offer,Yes,39.49,Yes,Yes,Fiber Optic,28,No,Yes,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,104.8,7308.95,6.11,0,2764.3,10067.14,United States,California,53323,Male,66,No,Yes,Yes,No,0,Yes,0
Yes,10,57,Offer B,Yes,8.01,Yes,Yes,Fiber Optic,73,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,109.4,6252.7,0.0,0,456.57,6709.27,United States,California,13343,Female,20,Yes,No,Yes,No,0,Yes,0
Yes,10,58,no offer,Yes,18.37,No,Yes,DSL,18,No,No,Yes,No,No,No,No,Yes,One Year,No,Credit Card,50.3,2878.55,10.23,0,1065.46,3933.78,United States,California,47431,Male,61,No,No,Yes,No,0,Yes,0
No,0,16,no offer,Yes,25.71,Yes,Yes,DSL,48,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,71.4,1212.1,0.0,0,411.36,1623.46,United States,California,41263,Male,24,Yes,No,No,No,0,No,0
Yes,3,69,Offer A,Yes,38.52,Yes,Yes,Fiber Optic,27,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,116.0,8182.85,0.0,0,2657.88,10840.73,United States,California,1653,Female,55,No,No,Yes,No,0,Yes,0
No,0,1,Offer E,Yes,31.77,No,No,no internet,0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,19.85,19.85,0.0,0,31.77,51.620000000000005,United States,California,2198,Male,32,No,No,No,No,0,No,1
No,0,1,no offer,Yes,40.71,Yes,Yes,Fiber Optic,25,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99.75,99.75,0.0,0,40.71,140.46,United States,California,29299,Male,59,No,No,No,No,0,No,1
Yes,9,32,Offer C,Yes,31.86,No,Yes,Fiber Optic,23,No,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Mailed Check,93.95,2861.45,0.0,0,1019.52,3880.97,United States,California,3499,Male,71,No,Yes,Yes,Yes,1,Yes,0
Yes,8,16,Offer D,Yes,48.71,Yes,Yes,Fiber Optic,12,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,90.8,1442.2,0.0,0,779.36,2221.56,United States,California,291,Male,49,No,No,Yes,Yes,2,Yes,0
Yes,1,49,Offer B,Yes,39.55,Yes,Yes,Cable,10,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,84.35,4059.35,0.0,0,1937.95,5997.299999999999,United States,California,413,Male,61,No,No,Yes,No,0,Yes,1
Yes,2,71,Offer A,No,0.0,No,Yes,Cable,29,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,58.25,4145.9,0.0,0,0.0,4145.9,United States,California,6526,Female,40,No,No,Yes,No,0,Yes,0
No,0,33,no offer,Yes,49.69,Yes,Yes,Fiber Optic,12,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,107.55,3645.5,0.0,0,1639.77,5285.27,United States,California,459,Female,39,No,No,No,No,0,No,0
Yes,9,10,Offer D,Yes,49.6,No,No,no internet,0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,19.95,187.75,0.0,0,496.0,683.75,United States,California,1215,Female,21,Yes,No,Yes,No,0,Yes,0
Yes,1,21,no offer,Yes,36.26,Yes,Yes,Fiber Optic,59,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,111.2,2317.1,0.0,120,761.4599999999999,3198.56,United States,California,3258,Male,24,Yes,No,Yes,No,0,Yes,1
Yes,1,37,no offer,No,0.0,No,Yes,DSL,23,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,40.2,1448.8,0.0,0,0.0,1448.8,United States,California,3641,Male,52,No,No,Yes,Yes,1,Yes,1
No,0,26,no offer,Yes,33.74,No,Yes,Fiber Optic,7,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,85.8,2193.65,0.0,0,877.24,3070.8900000000003,United States,California,3256,Female,71,No,Yes,No,No,0,No,0
No,0,50,Offer B,No,0.0,No,Yes,DSL,7,Yes,No,No,Yes,No,No,No,Yes,One Year,Yes,Credit Card,35.4,1748.9,0.0,0,0.0,1748.9,United States,California,1851,Male,45,No,No,No,No,0,No,0
No,0,7,no offer,Yes,28.62,Yes,Yes,Fiber Optic,26,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,73.85,511.25,13.03,0,200.34,698.5600000000001,United States,California,34902,Female,29,Yes,No,No,No,0,No,1
Yes,1,61,Offer B,Yes,47.19,Yes,Yes,DSL,28,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Mailed Check,88.1,5526.75,0.0,0,2878.59,8405.34,United States,California,26933,Female,62,No,No,Yes,No,0,Yes,0
No,0,15,Offer D,Yes,45.92,No,Yes,Fiber Optic,12,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,101.35,1553.95,0.0,0,688.8000000000001,2242.75,United States,California,167,Male,42,No,No,No,No,0,No,1
No,0,26,no offer,No,0.0,No,Yes,DSL,19,Yes,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,No,Credit Card,45.8,1147.0,0.0,0,0.0,1147.0,United States,California,9937,Female,51,No,No,No,Yes,2,No,0
Yes,9,72,no offer,Yes,33.22,No,Yes,Fiber Optic,23,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.65,6747.35,0.0,0,2391.84,9139.19,United States,California,32202,Male,39,No,No,Yes,No,0,Yes,0
Yes,1,44,no offer,Yes,27.4,No,No,no internet,0,No,No,No,No,No,No,No,No,One Year,Yes,Bank Withdrawal,20.5,865.05,0.0,0,1205.6,2070.65,United States,California,30802,Male,64,No,No,Yes,No,0,Yes,0
No,0,66,Offer A,Yes,48.78,Yes,Yes,Fiber Optic,8,No,Yes,No,No,No,Yes,Yes,No,Month-to-Month,No,Credit Card,89.4,5976.9,36.02,40,3219.48,9200.36,United States,California,175,Male,55,No,No,No,No,0,No,0
No,0,2,no offer,Yes,36.81,No,Yes,Fiber Optic,16,Yes,Yes,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,86.25,181.65,0.0,0,73.62,255.27,United States,California,30635,Female,40,No,No,No,No,0,No,1
No,0,44,no offer,Yes,7.72,No,Yes,DSL,17,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,74.85,3268.05,17.91,0,339.68,3589.82,United States,California,23559,Female,76,No,Yes,No,No,0,No,0
No,0,12,Offer D,Yes,14.38,Yes,Yes,Fiber Optic,6,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.75,1052.4,0.0,0,172.56,1224.96,United States,California,45755,Female,57,No,No,No,No,0,No,1
Yes,1,69,no offer,Yes,18.41,Yes,Yes,Fiber Optic,17,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,109.95,7634.25,0.0,0,1270.29,8904.54,United States,California,54492,Male,71,No,Yes,Yes,No,0,Yes,0
No,0,1,Offer E,Yes,1.23,Yes,Yes,Fiber Optic,69,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,80.2,80.2,0.0,0,1.23,81.43,United States,California,77683,Female,25,Yes,No,No,No,0,No,1
No,0,3,Offer E,Yes,25.75,No,No,no internet,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,19.85,63.75,0.0,0,77.25,141.0,United States,California,30476,Female,24,Yes,No,No,No,0,No,1
Yes,10,2,no offer,Yes,4.65,No,Yes,Fiber Optic,53,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,90.35,190.5,0.0,0,9.3,199.8,United States,California,46171,Female,19,Yes,No,Yes,No,0,Yes,0
No,0,27,no offer,Yes,2.97,Yes,Yes,Fiber Optic,4,No,Yes,Yes,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,86.45,2401.05,0.0,0,80.19000000000001,2481.24,United States,California,42239,Female,77,No,Yes,No,No,0,No,0
No,0,26,Offer C,Yes,13.34,No,No,no internet,0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,20.3,511.25,0.0,0,346.84,858.0899999999999,United States,California,117,Male,57,No,No,No,No,0,No,0
Yes,9,39,no offer,Yes,20.15,Yes,Yes,Fiber Optic,21,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,101.25,3949.15,0.0,0,785.8499999999999,4735.0,United States,California,29539,Female,73,No,Yes,Yes,No,0,Yes,0
No,0,25,no offer,Yes,34.88,Yes,Yes,Fiber Optic,8,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.7,2362.1,0.0,0,872.0000000000001,3234.1,United States,California,4150,Male,41,No,No,No,No,0,No,1
No,0,1,Offer E,Yes,39.81,No,Yes,Fiber Optic,23,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Mailed Check,70.9,70.9,0.0,0,39.81,110.71,United States,California,32984,Female,43,No,No,No,No,0,No,1
Yes,1,22,Offer D,Yes,27.24,No,Yes,DSL,21,Yes,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,54.2,1152.7,0.0,0,599.28,1751.98,United States,California,7958,Male,48,No,No,Yes,No,0,Yes,1
No,0,72,Offer A,Yes,48.37,Yes,Yes,Fiber Optic,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,114.9,8496.7,0.0,0,3482.64,11979.34,United States,California,7384,Female,56,No,No,No,No,0,No,0
No,0,24,no offer,Yes,10.64,No,No,no internet,0,No,No,No,No,No,No,No,No,Two Year,Yes,Bank Withdrawal,19.55,470.2,0.0,0,255.36,725.56,United States,California,47568,Female,51,No,No,No,No,0,No,0
Yes,8,19,no offer,Yes,7.84,Yes,Yes,Fiber Optic,16,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,86.85,1564.4,0.0,0,148.96,1713.36,United States,California,2241,Female,34,No,No,Yes,No,0,Yes,0
Yes,2,71,no offer,Yes,9.2,Yes,No,no internet,0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,25.35,1847.55,0.0,0,653.1999999999999,2500.75,United States,California,6760,Male,21,Yes,No,Yes,Yes,2,Yes,0
Yes,7,33,no offer,Yes,25.15,Yes,Yes,Fiber Optic,20,Yes,No,Yes,Yes,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,109.9,3694.7,0.0,0,829.9499999999999,4524.65,United States,California,964,Male,78,No,Yes,Yes,No,0,Yes,0
No,0,3,no offer,Yes,2.69,No,No,no internet,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,19.95,58.0,0.0,0,8.07,66.07,United States,California,1508,Female,60,No,No,No,No,0,No,0
Yes,7,47,no offer,Yes,1.09,Yes,Yes,Fiber Optic,13,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,87.2,4017.45,0.0,0,51.23,4068.68,United States,California,3979,Male,54,No,No,Yes,Yes,1,Yes,0
Yes,2,62,no offer,Yes,1.76,No,Yes,Fiber Optic,20,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,108.15,6825.65,0.0,0,109.12,6934.77,United States,California,25569,Male,42,No,No,Yes,Yes,3,Yes,0
No,0,71,no offer,Yes,2.88,Yes,Yes,Fiber Optic,48,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,116.3,8309.55,0.0,0,204.48,8514.029999999999,United States,California,24944,Male,22,Yes,No,No,No,0,No,0
