Date,Which Room,RatorID,[Contributions & Attitude],[Cooperation with Others],"[Focus, Commitments]",[Team Role Fulfillment],[Ability to Communicate],[Accuracy],Rating,RateeID
11/12/21 9:23,Room 5,rator-38,3,3,3,3,3,3,3,ratee-56
11/12/21 9:23,Room 5,rator-34,4,4,4,4,4,4,4,ratee-36
11/12/21 9:23,Room 4,rator-39,3,4,4,3,4,3,3.5,ratee-59
11/12/21 9:23,Room 7,rator-22,4,4,4,3,4,4,3.83,ratee-24
11/12/21 9:23,Room 1,rator-40,2,2,3,2,4,3,2.67,ratee-61
11/12/21 9:24,Room 5,rator-41,3,3,2,3,4,2,2.83,ratee-62
11/12/21 9:24,Room 2,rator-23,3,3,3,3,4,4,3.33,ratee-25
11/12/21 9:24,Room 8,rator-30,4,4,4,4,4,4,4,ratee-32
11/12/21 9:24,Room 3,rator-26,4,4,4,4,4,4,4,ratee-28
11/12/21 9:24,Room 1,rator-42,2,2,2,2,3,2,2.17,ratee-66
11/12/21 9:24,Room 8,rator-43,4,4,3,4,4,3,3.67,ratee-67
11/12/21 9:25,Room 8,rator-05,3,3,4,3,3,3,3.17,ratee-05
11/12/21 9:25,Room 3,rator-04,4,4,4,4,4,4,4,ratee-04
11/12/21 9:26,Room 3,rator-44,4,4,4,4,4,4,4,ratee-71
11/12/21 9:27,Room 3,rator-35,4,4,4,4,4,4,4,ratee-37
11/12/21 9:28,Room 2,rator-31,4,3,3,3,4,2,3.17,ratee-33
11/12/21 9:31,Room 6,rator-45,4,4,4,4,3,4,3.83,ratee-74
11/12/21 20:31,Room 4,rator-09,4,4,4,4,4,4,4,ratee-10
10/29/21 9:58,Room 6,rator-01,4,4,4,4,4,4,4,ratee-76
10/29/21 9:58,Room 4,rator-02,4,4,4,4,4,3,3.83,ratee-77
10/29/21 9:58,Room 3,rator-03,4,3,3,4,4,3,3.5,ratee-78
10/29/21 9:58,Room 6,rator-04,4,3,4,4,3,4,3.67,ratee-79
10/29/21 9:58,Room 6,rator-05,4,4,4,4,4,4,4,ratee-76
10/29/21 9:59,Room 7,rator-07,4,4,4,4,4,3,3.83,ratee-82
10/29/21 9:59,Room 5,rator-08,3,4,4,4,4,3,3.67,ratee-83
10/29/21 9:59,Room 7,rator-36,4,4,4,3,3,3,3.5,ratee-82
10/29/21 9:59,Room 5,rator-09,3,3,4,3,4,3,3.33,ratee-85
10/29/21 9:59,Room 5,rator-10,3,3,3,3,3,2,2.83,ratee-86
10/29/21 9:59,Room 4,rator-11,4,4,4,4,4,4,4,ratee-77
10/29/21 9:59,Room 4,rator-12,4,4,4,3,4,3,3.67,ratee-88
10/29/21 9:59,Room 3,rator-37,4,4,4,4,3,3,3.67,ratee-78
10/29/21 10:00,Room 7,rator-13,4,4,4,4,4,4,4,ratee-90
10/29/21 10:00,Room 2,rator-14,4,4,3,3,4,4,3.67,ratee-91
10/29/21 10:00,Room 5,rator-15,3,4,3,4,3,2,3.17,ratee-92
10/29/21 10:01,Room 2,rator-16,4,4,3,3,4,3,3.5,ratee-91
10/29/21 10:01,Room 1,rator-17,4,4,4,4,4,4,4,ratee-94
10/29/21 10:01,Room 3,rator-18,3,3,4,2,3,3,3,ratee-78
10/29/21 10:01,Room 3,rator-19,4,4,4,4,4,3,3.83,ratee-96
10/29/21 10:02,Room 2,rator-20,4,3,3,3,3,2,3,ratee-97
10/29/21 10:02,Room 2,rator-21,3,3,2,2,2,2,2.33,ratee-97
10/29/21 10:02,Room 7,rator-22,4,4,4,4,4,3,3.83,ratee-82
10/29/21 10:02,Room 3,rator-23,2,3,3,3,3,3,2.83,ratee-100
10/29/21 10:02,Room 1,rator-24,4,4,3,4,3,3,3.5,ratee-94
10/29/21 10:03,Room 4,rator-25,4,4,4,4,4,3,3.83,ratee-102
10/29/21 10:03,Room 1,rator-27,4,3,3,4,3,3,3.33,ratee-94
10/29/21 10:03,Room 6,rator-28,3,4,3,3,3,3,3.17,ratee-76
10/29/21 10:03,Room 3,rator-29,2,3,2,2,2,3,2.33,ratee-106
10/29/21 10:03,Room 5,rator-30,4,4,4,4,4,3,3.83,ratee-92
10/29/21 10:04,Room 2,rator-31,3,3,3,2,3,2,2.67,ratee-108
10/29/21 10:04,Room 1,rator-32,4,4,4,4,4,4,4,ratee-109
10/29/21 10:05,Room 7,rator-33,4,4,4,4,4,3,3.83,ratee-82
10/29/21 10:05,Room 4,rator-34,4,4,3,4,4,4,3.83,ratee-111
10/29/21 10:06,Room 2,rator-35,3,4,3,3,4,3,3.33,ratee-112
11/12/21 9:20,Room 6,rator-06,4,4,4,4,4,3,3.83,ratee-113
11/12/21 9:20,Room 3,rator-08,3,4,3,4,3,3,3.33,ratee-112
11/12/21 9:20,Room 7,rator-07,4,4,4,3,4,3,3.67,ratee-115
11/12/21 9:20,Room 2,rator-13,4,4,4,4,4,3,3.83,ratee-116
11/12/21 9:20,Room 4,rator-21,4,4,4,4,4,4,4,ratee-117
11/12/21 9:21,Room 2,rator-29,4,4,3,4,3,2,3.33,ratee-82
11/12/21 9:21,Room 4,rator-36,4,4,4,3,4,3,3.67,ratee-91
11/12/21 9:21,Room 1,rator-19,4,4,4,4,4,4,4,ratee-121
11/12/21 9:21,Room 7,rator-33,4,4,4,4,3,3,3.67,ratee-115
11/12/21 9:21,Room 1,rator-12,4,4,4,3,4,4,3.83,ratee-83
11/12/21 9:22,Room 5,rator-28,4,4,4,4,4,3,3.83,ratee-124
11/12/21 9:22,Room 5,rator-11,4,4,4,4,4,4,4,ratee-77
11/12/21 9:22,Room 2,rator-14,4,4,3,3,3,3,3.33,ratee-82
11/12/21 9:22,Room 4,rator-02,3,3,3,3,3,3,3,ratee-91
11/12/21 9:22,Room 6,rator-10,4,4,4,4,3,4,3.83,ratee-128
11/12/21 9:22,Room 8,rator-37,4,4,4,4,4,3,3.83,ratee-129
11/12/21 9:22,Room 1,rator-15,4,3,3,4,3,2,3.17,ratee-130
11/12/21 9:23,Room 5,rator-38,4,4,4,4,4,3,3.83,ratee-124
11/12/21 9:23,Room 6,rator-46,4,4,4,4,4,3,3.83,ratee-132
11/12/21 9:23,Room 5,rator-34,4,4,4,4,4,4,4,ratee-124
11/12/21 9:23,Room 4,rator-39,3,4,3,4,4,3,3.5,ratee-91
11/12/21 9:23,Room 7,rator-22,4,4,4,3,4,4,3.83,ratee-135
11/12/21 9:23,Room 1,rator-40,4,4,4,4,4,4,4,ratee-130
11/12/21 9:24,Room 5,rator-41,4,3,3,4,2,2,3,ratee-137
11/12/21 9:24,Room 2,rator-23,3,3,4,4,3,3,3.33,ratee-138
11/12/21 9:24,Room 8,rator-30,4,4,4,4,4,4,4,ratee-129
11/12/21 9:24,Room 3,rator-26,4,4,4,4,4,4,4,ratee-76
11/12/21 9:24,Room 1,rator-42,4,4,3,3,3,3,3.33,ratee-130
11/12/21 9:24,Room 8,rator-43,4,3,4,4,3,3,3.5,ratee-129
11/12/21 9:25,Room 8,rator-05,4,4,4,4,4,4,4,ratee-143
11/12/21 9:25,Room 1,rator-40,4,4,4,4,4,4,4,ratee-144
11/12/21 9:25,Room 3,rator-04,4,4,4,4,4,3,3.83,ratee-145
11/12/21 9:26,Room 3,rator-44,4,4,4,4,4,4,4,ratee-76
11/12/21 9:28,Room 2,rator-31,3,3,4,3,3,3,3.17,ratee-148
11/12/21 9:31,Room 6,rator-45,4,4,4,4,4,4,4,ratee-149
11/12/21 20:31,Room 4,rator-09,4,4,4,3,4,4,3.83,ratee-108
10/29/21 9:58,Room 6,rator-01,4,4,4,4,4,4,4,ratee-129
10/29/21 9:58,Room 4,rator-02,4,4,4,4,4,3,3.83,ratee-152
10/29/21 9:58,Room 3,rator-03,4,4,3,3,4,3,3.5,ratee-153
10/29/21 9:58,Room 6,rator-04,4,4,4,4,4,4,4,ratee-154
10/29/21 9:58,Room 6,rator-05,4,4,4,4,4,4,4,ratee-154
10/29/21 9:59,Room 7,rator-07,4,4,4,4,4,4,4,ratee-157
10/29/21 9:59,Room 5,rator-08,4,3,3,4,4,3,3.5,ratee-92
10/29/21 9:59,Room 7,rator-36,4,3,4,4,3,3,3.5,ratee-157
10/29/21 9:59,Room 5,rator-09,4,3,3,4,4,4,3.67,ratee-149
10/29/21 9:59,Room 5,rator-10,3,3,3,3,2,3,2.83,ratee-161
10/29/21 9:59,Room 4,rator-11,4,4,4,4,4,4,4,ratee-121
10/29/21 9:59,Room 4,rator-12,2,2,3,2,2,2,2.17,ratee-163
10/29/21 9:59,Room 3,rator-37,3,4,3,3,3,4,3.33,ratee-153
10/29/21 10:00,Room 7,rator-13,4,4,4,4,4,3,3.83,ratee-157
10/29/21 10:00,Room 2,rator-14,3,3,3,2,2,2,2.5,ratee-97
10/29/21 10:00,Room 5,rator-15,4,3,3,4,3,4,3.5,ratee-167
10/29/21 10:01,Room 2,rator-16,4,3,4,4,3,3,3.5,ratee-97
10/29/21 10:01,Room 1,rator-17,4,3,3,3,4,4,3.5,ratee-169
10/29/21 10:01,Room 3,rator-18,3,4,3,3,4,3,3.33,ratee-170
10/29/21 10:01,Room 3,rator-19,4,4,4,4,4,3,3.83,ratee-153
10/29/21 10:02,Room 2,rator-20,4,4,4,1,2,3,3,ratee-108
10/29/21 10:02,Room 2,rator-21,3,3,3,3,2,3,2.83,ratee-115
10/29/21 10:02,Room 7,rator-22,4,4,4,4,4,3,3.83,ratee-90
10/29/21 10:02,Room 1,rator-24,3,4,3,3,3,3,3.17,ratee-176
10/29/21 10:03,Room 4,rator-25,4,4,4,4,4,3,3.83,ratee-144
10/29/21 10:03,Room 5,rator-26,4,4,4,3,4,3,3.67,ratee-149
10/29/21 10:03,Room 1,rator-27,4,2,3,3,3,3,3,ratee-179
10/29/21 10:03,Room 6,rator-28,2,3,2,3,2,2,2.33,ratee-154
10/29/21 10:03,Room 3,rator-29,4,3,3,4,4,3,3.5,ratee-153
10/29/21 10:03,Room 5,rator-30,4,4,4,4,4,3,3.83,ratee-83
10/29/21 10:04,Room 2,rator-31,3,3,3,3,2,2,2.67,ratee-148
10/29/21 10:04,Room 1,rator-32,4,4,4,4,4,4,4,ratee-184
10/29/21 10:05,Room 7,rator-33,4,4,4,4,4,3,3.83,ratee-90
10/29/21 10:05,Room 4,rator-34,4,4,4,4,4,4,4,ratee-88
10/29/21 10:06,Room 2,rator-35,3,4,3,3,4,3,3.33,ratee-187
11/12/21 9:20,Room 6,rator-06,4,4,4,4,4,3,3.83,ratee-94
11/12/21 9:20,Room 3,rator-08,3,3,3,3,4,4,3.33,ratee-189
11/12/21 9:20,Room 7,rator-07,4,3,3,4,3,4,3.5,ratee-157
11/12/21 9:20,Room 2,rator-13,4,4,4,4,4,3,3.83,ratee-191
11/12/21 9:20,Room 4,rator-21,4,4,4,4,4,4,4,ratee-92
11/12/21 9:20,Room 7,rator-20,4,4,4,4,4,3,3.83,ratee-193
11/12/21 9:21,Room 2,rator-29,4,4,3,3,4,3,3.5,ratee-194
11/12/21 9:21,Room 4,rator-36,4,3,3,4,4,3,3.5,ratee-195
11/12/21 9:21,Room 1,rator-19,4,4,4,4,4,4,4,ratee-83
11/12/21 9:21,Room 7,rator-33,3,3,3,3,3,3,3,ratee-157
11/12/21 9:21,Room 1,rator-12,4,4,4,4,4,4,4,ratee-198
11/12/21 9:22,Room 5,rator-28,4,4,4,4,4,3,3.83,ratee-199
11/12/21 9:22,Room 5,rator-11,4,4,4,4,4,4,4,ratee-124
11/12/21 9:22,Room 2,rator-14,4,3,4,3,3,3,3.33,ratee-78
11/12/21 9:22,Room 4,rator-02,3,3,3,3,3,3,3,ratee-90
11/12/21 9:22,Room 6,rator-10,4,4,3,4,3,3,3.5,ratee-203
11/12/21 9:22,Room 8,rator-37,3,4,4,4,4,3,3.67,ratee-143
11/12/21 9:22,Room 1,rator-15,3,3,3,3,3,2,2.83,ratee-205
11/12/21 9:23,Room 5,rator-38,4,4,4,4,4,3,3.83,ratee-206
11/12/21 9:23,Room 6,rator-46,4,4,4,4,4,4,4,ratee-207
11/12/21 9:23,Room 5,rator-34,4,4,4,4,4,4,4,ratee-199
11/12/21 9:23,Room 4,rator-39,3,4,3,3,4,3,3.33,ratee-90
11/12/21 9:23,Room 7,rator-22,4,4,4,3,4,4,3.83,ratee-118
11/12/21 9:23,Room 1,rator-40,4,4,4,4,4,4,4,ratee-205
11/12/21 9:24,Room 5,rator-41,3,4,3,3,4,4,3.5,ratee-212
11/12/21 9:24,Room 2,rator-23,3,3,4,4,3,4,3.5,ratee-78
11/12/21 9:24,Room 8,rator-30,4,4,4,4,4,4,4,ratee-143
11/12/21 9:24,Room 3,rator-26,3,4,3,4,3,4,3.5,ratee-215
11/12/21 9:24,Room 1,rator-42,4,4,4,3,4,3,3.67,ratee-83
11/12/21 9:24,Room 8,rator-43,3,3,2,3,3,2,2.67,ratee-96
11/12/21 9:25,Room 8,rator-05,4,4,4,4,4,4,4,ratee-218
11/12/21 9:26,Room 3,rator-44,4,4,4,4,4,4,4,ratee-221
11/12/21 9:27,Room 3,rator-35,4,4,4,4,4,4,4,ratee-222
11/12/21 9:28,Room 2,rator-31,4,4,3,3,4,3,3.5,ratee-138
11/12/21 9:31,Room 6,rator-45,4,4,4,4,4,4,4,ratee-128
11/12/21 20:31,Room 4,rator-09,4,4,3,4,3,4,3.67,ratee-215
10/29/21 9:58,Room 6,rator-01,4,4,3,3,4,4,3.67,ratee-154
10/29/21 9:58,Room 4,rator-02,4,4,4,4,4,3,3.83,ratee-199
10/29/21 9:58,Room 3,rator-03,4,2,3,3,2,3,2.83,ratee-106
10/29/21 9:58,Room 6,rator-04,3,4,4,4,4,4,3.83,ratee-229
10/29/21 9:58,Room 6,rator-05,4,4,4,4,4,3,3.83,ratee-229
10/29/21 9:59,Room 7,rator-07,4,4,4,3,4,4,3.83,ratee-90
10/29/21 9:59,Room 5,rator-08,4,4,4,3,4,4,3.83,ratee-113
10/29/21 9:59,Room 7,rator-36,3,4,3,3,3,3,3.17,ratee-234
10/29/21 9:59,Room 5,rator-09,4,4,4,3,4,4,3.83,ratee-215
10/29/21 9:59,Room 5,rator-10,3,3,3,3,3,2,2.83,ratee-236
10/29/21 9:59,Room 4,rator-11,4,4,4,4,4,3,3.83,ratee-88
10/29/21 9:59,Room 4,rator-12,4,4,4,4,4,4,4,ratee-199
10/29/21 9:59,Room 3,rator-37,3,4,3,3,4,3,3.33,ratee-239
10/29/21 10:00,Room 7,rator-13,2,2,1,2,2,2,1.83,ratee-240
10/29/21 10:00,Room 2,rator-14,4,4,3,3,3,2,3.17,ratee-241
10/29/21 10:00,Room 5,rator-15,3,3,3,3,3,2,2.83,ratee-242
10/29/21 10:01,Room 2,rator-16,3,4,3,4,3,3,3.33,ratee-194
10/29/21 10:01,Room 1,rator-17,4,4,4,4,4,4,4,ratee-176
10/29/21 10:01,Room 3,rator-18,4,4,3,3,3,3,3.33,ratee-96
10/29/21 10:01,Room 3,rator-19,4,4,4,4,4,3,3.83,ratee-78
10/29/21 10:02,Room 2,rator-21,1,1,1,1,1,1,1,ratee-222
10/29/21 10:02,Room 7,rator-22,4,4,4,4,3,3,3.67,ratee-234
10/29/21 10:02,Room 3,rator-23,3,3,3,3,2,3,2.83,ratee-78
10/29/21 10:02,Room 1,rator-24,3,3,3,2,3,2,2.67,ratee-179
10/29/21 10:03,Room 4,rator-25,4,4,4,4,4,3,3.83,ratee-252
10/29/21 10:03,Room 5,rator-26,4,3,4,4,4,3,3.67,ratee-253
10/29/21 10:03,Room 1,rator-27,4,3,3,4,3,3,3.33,ratee-176
10/29/21 10:03,Room 6,rator-28,3,2,3,2,2,3,2.5,ratee-129
10/29/21 10:03,Room 3,rator-29,3,4,2,4,3,3,3.17,ratee-256
10/29/21 10:03,Room 5,rator-30,4,4,4,4,3,3,3.67,ratee-221
10/29/21 10:04,Room 2,rator-31,1,1,1,1,1,1,1,ratee-258
10/29/21 10:04,Room 1,rator-32,4,4,4,4,4,4,4,ratee-259
10/29/21 10:05,Room 7,rator-33,4,4,4,4,4,3,3.83,ratee-260
10/29/21 10:05,Room 4,rator-34,4,4,4,3,4,3,3.67,ratee-199
10/29/21 10:06,Room 2,rator-35,3,4,3,3,4,3,3.33,ratee-194
11/12/21 9:20,Room 6,rator-06,4,4,4,4,4,3,3.83,ratee-176
11/12/21 9:20,Room 3,rator-08,4,3,4,4,3,4,3.67,ratee-264
11/12/21 9:20,Room 7,rator-07,4,4,3,4,4,4,3.83,ratee-265
11/12/21 9:20,Room 2,rator-13,4,4,4,4,4,4,4,ratee-106
11/12/21 9:20,Room 4,rator-21,4,4,4,4,4,4,4,ratee-267
11/12/21 9:21,Room 2,rator-29,3,3,3,2,2,3,2.67,ratee-106
11/12/21 9:21,Room 4,rator-36,3,4,4,3,3,3,3.33,ratee-270
11/12/21 9:21,Room 1,rator-19,4,4,4,4,4,4,4,ratee-271
11/12/21 9:21,Room 7,rator-33,3,3,3,3,3,3,3,ratee-272
11/12/21 9:21,Room 1,rator-12,4,4,4,3,4,4,3.83,ratee-271
11/12/21 9:22,Room 5,rator-28,4,4,4,4,4,3,3.83,ratee-77
11/12/21 9:22,Room 5,rator-11,4,4,4,4,4,4,4,ratee-275
11/12/21 9:22,Room 2,rator-14,3,4,3,3,3,3,3.17,ratee-276
11/12/21 9:22,Room 4,rator-02,3,3,3,3,2,3,2.83,ratee-86
11/12/21 9:22,Room 6,rator-10,4,3,4,4,4,3,3.67,ratee-184
11/12/21 9:22,Room 8,rator-37,3,3,3,3,4,3,3.17,ratee-279
11/12/21 9:22,Room 1,rator-15,2,3,3,2,2,2,2.33,ratee-121
11/12/21 9:23,Room 5,rator-38,4,4,4,4,4,2,3.67,ratee-252
11/12/21 9:23,Room 6,rator-46,4,4,4,3,4,3,3.67,ratee-94
11/12/21 9:23,Room 5,rator-34,4,4,4,4,4,4,4,ratee-283
11/12/21 9:23,Room 4,rator-39,3,3,3,3,4,3,3.17,ratee-267
11/12/21 9:23,Room 7,rator-22,4,4,4,3,4,4,3.83,ratee-285
11/12/21 9:23,Room 1,rator-40,4,4,4,4,4,4,4,ratee-83
11/12/21 9:24,Room 5,rator-41,4,4,4,4,4,4,4,ratee-275
11/12/21 9:24,Room 2,rator-23,3,3,3,4,4,3,3.33,ratee-194
11/12/21 9:24,Room 8,rator-30,4,4,4,4,4,4,4,ratee-256
11/12/21 9:24,Room 3,rator-26,3,3,3,3,3,3,3,ratee-290
11/12/21 9:24,Room 1,rator-42,3,3,4,4,4,3,3.5,ratee-121
11/12/21 9:24,Room 8,rator-43,2,3,3,2,3,2,2.5,ratee-279
11/12/21 9:25,Room 8,rator-05,4,4,4,4,4,4,4,ratee-293
11/12/21 9:25,Room 3,rator-04,3,3,3,3,2,3,2.83,ratee-258
11/12/21 9:26,Room 3,rator-44,4,4,4,4,4,4,4,ratee-296
11/12/21 9:27,Room 3,rator-35,4,4,4,4,4,4,4,ratee-297
11/12/21 9:31,Room 6,rator-45,4,4,4,4,4,4,4,ratee-203
11/12/21 20:31,Room 4,rator-09,4,3,4,4,4,4,3.83,ratee-195
